timestamp,gate_id,facility_type,inlet_node,outlet_node,status,setting,flow_cms
2017-06-29 03:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 03:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 03:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 03:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 03:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 03:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 03:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 03:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 03:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 03:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 03:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 03:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 03:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 03:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 03:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 03:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-06-29 03:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0019066485822115567
2017-06-29 03:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 03:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 03:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 03:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 03:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 03:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 03:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 03:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 03:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 03:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 03:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 03:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 03:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 03:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 03:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 03:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 03:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 03:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 03:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 03:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-06-29 03:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.001755302464956066
2017-06-29 03:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 03:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 03:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 03:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 03:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 03:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 03:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 03:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 03:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 03:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 03:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 03:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 03:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 03:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 03:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 03:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 03:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 03:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 03:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 03:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0004982024307013834
2017-06-29 03:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 04:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0016667500676520845
2017-06-29 04:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 04:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 04:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 04:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 04:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 04:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 04:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 04:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 04:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 04:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 04:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 04:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 04:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 04:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 04:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 04:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 04:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 04:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 04:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 04:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002059169249061709
2017-06-29 04:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 04:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 04:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0015408798739620635
2017-06-29 04:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 04:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 04:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 04:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 04:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 04:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 04:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 04:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 04:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 04:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 04:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 04:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 04:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 04:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 04:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 04:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 04:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 04:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 04:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 04:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00019754279639497616
2017-06-29 04:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 04:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 04:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.001390636527115102
2017-06-29 04:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 04:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 04:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 04:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 04:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 04:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 04:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 04:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 04:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 04:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 04:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 04:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 04:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 04:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 04:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 04:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 04:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 04:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 04:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 04:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0001944234931520809
2017-06-29 04:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 04:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 04:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.001230055788987389
2017-06-29 04:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 04:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 04:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 04:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 04:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 04:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 04:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 04:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 04:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 04:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 04:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 04:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 04:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 04:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 04:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 04:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 04:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 04:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 04:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 04:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00011377711316567107
2017-06-29 04:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 04:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 05:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0011334574794347565
2017-06-29 05:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 05:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 05:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 05:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 05:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 05:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 05:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 05:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 05:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 05:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 05:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 05:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 05:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 05:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 05:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 05:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 05:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 05:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 05:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 05:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-06-29 05:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 05:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 05:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0010349091491580968
2017-06-29 05:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 05:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 05:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 05:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 05:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 05:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 05:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 05:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 05:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 05:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 05:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 05:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 05:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 05:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 05:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 05:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 05:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 05:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 05:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 05:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-06-29 05:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 05:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 05:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0009511974036037399
2017-06-29 05:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 05:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 05:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 05:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 05:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 05:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 05:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 05:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 05:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 05:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 05:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 05:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 05:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 05:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 05:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 05:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 05:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 05:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 05:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 05:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-06-29 05:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 05:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 05:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0008444555621207454
2017-06-29 05:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 05:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 05:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 05:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 05:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 05:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 05:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 05:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 05:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 05:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 05:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 05:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 05:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 05:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 05:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 05:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 05:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 05:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 05:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 05:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-06-29 05:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 05:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 06:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.000771357852284278
2017-06-29 06:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 06:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 06:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 06:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 06:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 06:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 06:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 06:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 06:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 06:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 06:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 06:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 06:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 06:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 06:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 06:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 06:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 06:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 06:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 06:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0030400867608343755
2017-06-29 06:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 06:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 06:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0007154639515986296
2017-06-29 06:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 06:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 06:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 06:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 06:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 06:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 06:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 06:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 06:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 06:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 06:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
